Prate;Exper;Sal94;Sal95;Dept_1;Dept_2;Dept_3;Dept_4;Dept_5;Dept_6;Gender_0;Gender_1;Clin_0;Clin_1;Cert_0;Cert_1;Rank_1;Rank_2;Rank_3
7.4;9;77836;84612;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
6.7;10;69994;78497;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
8.1;6;62872;67756;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0
5.1;27;155196;173220;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1
7.0;10;89268;96099;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.7;10;79714;87531;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.3;9;89781;99972;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0
5.3;11;151423;166601;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1
7.7;18;81271;85437;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.5;9;83018;91369;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
6.8;12;80214;88676;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
7.3;8;110302;116654;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0
5.4;18;137106;149222;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1
7.5;15;77545;85041;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
6.8;10;90223;97640;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
8.1;9;81197;91800;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.3;16;90178;101828;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.7;9;105564;117743;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.1;37;115804;126989;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
7.2;14;113149;124432;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.6;27;157510;168673;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
7.1;14;97104;104090;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.3;17;131815;145843;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
6.9;23;134135;151837;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
7.4;8;92198;98155;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
6.9;19;99304;110321;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.0;15;82132;90058;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
7.0;16;108770;119697;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
6.9;15;109775;120208;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
7.7;7;66375;71139;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0
7.2;2;57838;62907;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
8.7;12;90631;99079;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0
7.9;7;60930;66190;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
8.1;14;87231;95385;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0
7.4;8;68582;76987;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0
7.3;7;63280;68420;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
7.9;16;106412;116959;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1
7.2;3;65337;70166;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
6.4;16;143334;153524;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1
8.0;12;90771;102927;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1
8.1;8;81769;88896;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0
7.5;11;94103;102983;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
7.6;10;102631;111125;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
6.0;15;109164;120696;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0
7.1;9;63779;73033;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
8.0;6;75362;81615;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
4.6;13;124836;137791;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0
7.7;13;77012;84536;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
7.3;6;67277;72721;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
8.1;9;73448;80294;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
5.1;10;97707;101617;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0
5.1;9;106130;118258;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
6.8;8;81049;88505;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
5.5;25;140315;150710;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
7.1;11;84571;92879;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
6.6;9;58126;64522;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0
6.1;27;133284;151373;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
7.5;32;142333;154372;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0
8.3;23;71073;78715;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
7.5;14;76255;82466;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
7.8;11;105348;118635;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
7.5;9;86844;97061;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
7.0;5;52582;58923;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
7.5;12;110836;120397;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
5.7;18;144150;151887;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
6.0;19;122240;134882;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
7.1;10;68573;75286;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
7.9;8;63936;69526;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
5.9;4;71404;78589;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0
7.6;14;102076;112009;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
5.3;10;94715;106608;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0
8.1;4;58634;62601;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
7.9;14;119851;131050;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
5.5;9;78650;88661;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
6.9;8;57862;63728;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0
4.9;3;67113;74272;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0
5.3;12;81078;86221;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
8.5;7;60403;68828;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
7.6;12;90964;97303;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0
8.4;4;52945;57841;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
7.4;5;56550;62323;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
7.2;2;34514;38675;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
8.0;8;56177;61652;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0
5.0;2;50588;57431;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0
7.7;5;60415;66323;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
6.1;11;91409;102511;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
7.8;3;56250;59530;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
5.7;16;127725;143348;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0
5.4;5;63426;71068;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0
8.0;5;45826;48138;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
6.7;24;154326;165884;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1
5.9;11;87351;95429;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0
4.1;5;123859;130292;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0
4.8;16;118121;130697;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1
4.3;11;174479;193342;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1
4.3;16;196704;218955;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1
4.3;16;186953;206984;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1
4.2;9;107862;117240;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0
3.9;5;105821;116932;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0
5.6;6;114730;126118;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0
3.9;9;142382;151698;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1
7.3;9;67581;72896;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
6.8;6;67934;75659;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
5.0;10;118101;129862;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1
5.2;9;127710;143799;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0
6.5;5;70794;77113;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
5.7;4;81728;91764;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0
7.0;7;71015;80747;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
7.3;11;117276;126139;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0
7.2;10;106535;117574;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0
8.4;5;68825;74209;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
3.1;6;109599;121829;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
5.2;17;154159;169191;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1
3.3;10;145503;162253;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
3.2;15;161383;181196;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
4.8;10;113443;126189;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1
2.1;5;118561;131704;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
2.9;8;147709;161814;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
3.1;7;121969;136415;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
5.2;11;101890;113893;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0
4.0;7;114233;127955;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
4.2;4;77087;84890;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
5.5;6;113382;124153;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
2.7;4;102177;112844;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
3.1;2;116506;127815;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0
3.1;5;130386;145073;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
3.6;16;159687;177706;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1
3.4;2;107750;117214;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
5.3;4;91211;103513;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
3.0;6;135216;150489;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0
3.2;10;164048;182049;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0
3.8;5;84390;92512;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
3.1;14;170428;186726;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1
2.6;5;124994;140026;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
5.7;13;90130;95908;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
6.3;5;102021;109758;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
4.0;4;88484;99505;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0
3.0;7;110975;123139;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
5.5;3;81422;89202;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
3.1;10;130939;142566;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
3.7;1;111630;125268;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
3.7;11;182945;198762;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
3.2;13;163671;181774;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
4.3;9;204433;226581;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
3.2;4;135139;148117;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
5.6;11;147213;155826;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1
4.0;13;207737;229706;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
3.1;18;244025;268210;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
5.2;12;167199;182401;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1
4.0;14;209377;225498;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
3.7;10;209189;230270;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
3.2;11;186973;204769;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
3.1;10;209171;229301;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
4.5;15;230268;253090;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
4.4;8;186022;207634;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
4.2;7;179897;196338;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
3.6;12;236470;265121;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
5.7;15;172793;184391;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1
3.7;13;285301;297397;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
3.6;8;200543;219584;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
4.8;6;152485;168170;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
4.0;5;154644;170967;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
3.1;22;255654;285939;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
3.5;2;138896;152284;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
3.1;18;260631;284841;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
3.0;4;183972;201691;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
3.0;5;128027;142963;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
4.0;6;161815;173837;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
5.9;6;149011;163795;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0
3.3;8;167305;183834;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
2.7;5;153549;168707;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
3.4;37;300975;332119;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
2.4;3;124442;131361;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0
3.8;14;163486;175271;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
3.2;7;155006;169118;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
5.1;8;129499;141661;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1
3.5;14;216391;234992;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
2.9;8;171016;189308;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
3.5;25;246763;279255;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
3.4;5;175396;189904;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
5.1;8;144542;158513;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0
4.7;21;275377;294336;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1
4.0;18;262090;289778;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
5.1;2;250000;276163;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0
4.6;10;158243;177587;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0
3.6;26;218341;245432;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1
3.3;5;141044;157509;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0
3.9;10;164174;183538;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
3.3;16;203152;216873;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
3.6;8;194784;217478;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
3.0;15;223040;239253;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
4.2;3;138635;149539;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
4.1;5;176028;192799;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.9;2;126343;136988;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.6;14;249687;267554;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
3.8;5;127525;139017;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.1;13;281058;313400;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
3.6;4;149631;165420;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.8;4;142249;154386;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
4.7;7;166863;189852;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
2.9;7;164080;180937;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
2.9;1;112221;126149;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
3.8;5;161352;177997;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
2.8;7;209818;233774;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
5.1;6;133097;147327;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
3.7;5;171391;185895;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.7;6;166482;180608;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
4.0;12;242614;265856;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.8;6;146396;161031;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.8;6;130153;139887;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.7;8;175791;195678;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0
3.4;3;138775;152231;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
4.3;6;167844;189487;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
3.9;10;202231;225599;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0
3.9;2;106802;114961;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
5.8;23;204279;227790;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1
4.5;8;185413;207462;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
4.6;9;150258;160253;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0
4.0;5;128433;145718;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
5.4;14;123940;138566;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
5.4;3;107524;116283;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
2.7;6;214219;236305;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.1;5;312966;336960;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1.9;21;342834;367284;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
2.1;16;312892;344801;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.5;13;317399;345204;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.4;21;342662;369712;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.5;5;247953;273737;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
3.2;11;339533;387205;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.4;22;393408;435572;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.5;5;206097;220899;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.4;27;419129;472589;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1.9;5;250667;270417;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.9;6;212780;237094;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.7;7;232735;261236;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
4.4;11;244940;269554;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0
2.2;13;287433;314926;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
2.8;7;279661;317179;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.7;12;428876;462342;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.4;10;326460;364139;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
3.2;10;366150;408898;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.3;8;299582;339637;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.1;5;259576;280168;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
1.9;12;316754;349294;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.5;7;220374;239614;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1.3;7;262328;295619;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.5;14;337885;376651;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.9;14;355982;389994;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
3.1;16;298359;320315;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0
3.0;6;247576;271773;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
3.3;15;251079;275246;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.4;2;154310;171664;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0
3.2;25;411219;455468;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
3.0;15;266880;297902;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.9;5;223736;248014;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
2.7;10;322698;356961;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
2.9;8;297174;323699;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0
2.6;9;308081;339664;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1
2.8;8;211269;241577;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0
2.4;2;210801;233905;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0
3.2;5;244551;265502;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0
